country,year,sample,serial,hhwt,geo1_ca2011,pernum,perwt,age,sex,bplcountry,citizen,empstat,empstatd,labforce,occisco,occ,indgen,ind,incearn
124,2011,124201101,81340000,32.1,59,2,32.1,53,2,31011,3,1,100,2,3,35,112,14,41800
124,2011,124201101,81423000,32.46,11,2,32.46,64,2,24020,2,3,300,1,3,35,113,15,3300
124,2011,124201101,81469000,32.03,35,1,32.03,23,2,11000,4,1,100,2,3,35,113,15,6200
124,2011,124201101,81518000,31.96,24,2,31.96,57,2,24020,2,1,100,2,3,35,113,15,32000
124,2011,124201101,81527000,32.02,48,1,32.02,32,2,41050,4,3,300,1,3,35,113,15,800
124,2011,124201101,81617000,31.96,24,2,31.96,51,2,24020,2,2,200,2,3,35,114,18,0
124,2011,124201101,81663000,39.68,24,1,39.68,64,2,24020,2,1,100,2,3,35,113,15,3100
124,2011,124201101,81819000,32.02,48,2,32.02,66,2,43070,3,1,100,2,3,35,112,14,2900
124,2011,124201101,81881000,32.1,59,4,32.1,32,2,24020,2,1,100,2,3,35,112,14,43400
124,2011,124201101,81952000,31.84,46,2,31.84,31,2,31010,3,1,100,2,3,35,113,15,19100
124,2011,124201101,82036000,32.1,59,1,32.1,43,2,24020,2,1,100,2,3,35,112,14,54900
124,2011,124201101,82048000,31.96,24,1,31.96,50,2,24020,2,1,100,2,3,35,112,14,5000
124,2011,124201101,82068000,32.1,59,2,32.1,54,2,33110,3,1,100,2,3,35,113,15,0
124,2011,124201101,82097000,32.02,48,2,32.02,38,2,31010,3,1,100,2,3,35,114,18,0
124,2011,124201101,82157000,32.03,35,2,32.03,25,2,24020,2,1,100,2,3,35,113,15,31800
124,2011,124201101,82166000,32.1,59,5,32.1,45,2,33080,4,1,100,2,3,35,114,18,12600
124,2011,124201101,82170000,32.03,35,2,32.03,52,2,43090,3,1,100,2,3,35,112,14,13600
124,2011,124201101,82194000,31.69,13,3,31.69,40,2,24020,2,1,100,2,3,35,113,15,6200
124,2011,124201101,82237000,32.03,35,1,32.03,61,2,24020,2,1,100,2,3,35,112,14,0
124,2011,124201101,82240000,32.03,35,2,32.03,53,2,24020,2,3,300,1,3,35,113,15,14600
124,2011,124201101,82316000,48.82,48,2,48.82,42,2,24020,2,1,100,2,3,35,113,15,21300
124,2011,124201101,82454000,32.1,59,5,32.1,40,2,33080,4,1,100,2,3,35,114,18,10400
124,2011,124201101,82469000,31.96,24,1,31.96,59,2,24020,2,1,100,2,3,35,113,15,13700
124,2011,124201101,82480000,84,35,2,84,79,2,24020,2,1,100,2,3,35,113,15,23900
124,2011,124201101,82545000,31.96,24,2,31.96,59,2,24020,2,3,300,1,3,35,112,14,10000
124,2011,124201101,82586000,31.96,24,1,31.96,53,2,24020,2,1,100,2,3,35,113,15,35600
124,2011,124201101,82658000,56.79,35,2,56.79,41,2,33080,4,1,100,2,3,35,113,15,34800
124,2011,124201101,82723000,31.89,47,1,31.89,29,2,24020,2,1,100,2,3,35,113,15,0
124,2011,124201101,82745000,31.84,46,2,31.84,49,2,24020,2,1,100,2,3,35,112,14,2700
124,2011,124201101,82761000,31.96,24,2,31.96,43,2,24020,2,1,100,2,3,35,112,14,2400
124,2011,124201101,82835000,32.03,35,3,32.03,57,2,21999,3,1,100,2,3,35,113,15,18500
124,2011,124201101,82858000,32.1,59,1,32.1,49,2,24020,2,1,100,2,3,35,113,15,0
124,2011,124201101,83049000,34.51,35,3,34.51,30,2,24020,2,1,100,2,3,35,112,14,30300
124,2011,124201101,83083000,32.03,35,2,32.03,53,2,31010,3,1,100,2,3,35,113,15,31800
124,2011,124201101,83094000,31.96,24,1,31.96,43,2,24020,2,2,200,2,3,35,112,14,11200
124,2011,124201101,83102000,33.47,24,1,33.47,50,2,24020,2,1,100,2,3,35,113,15,54300
124,2011,124201101,83106000,154.77,35,1,154.77,59,2,24020,2,3,300,1,3,35,114,18,2900
124,2011,124201101,83137000,31.96,24,2,31.96,57,2,24020,2,1,100,2,3,35,112,14,37400
124,2011,124201101,83145000,32.02,48,5,32.02,46,2,33080,4,1,100,2,3,35,114,18,22900
124,2011,124201101,83172000,32.1,59,2,32.1,37,2,24020,2,1,100,2,3,35,113,15,29100
124,2011,124201101,83177000,31.89,47,3,31.89,15,2,24020,2,1,100,2,3,35,114,18,70700
